idproducto,nombreproducto,precioproducto,nombrecategoria,descuento,idtienda,nombretienda
1000,Beef - Ox Tongue,6435.46,Grocery,53,1,Industrial Specialties
1005,Cheese - Colby,86740.01,Outdoors,17,2,Radio And Television Broadcasting And Communications Equipment
1010,Soup - Campbells - Tomato,14600.63,Automotive,64,3,EDP Services
1015,Cookie Dough - Double,16758.25,Outdoors,42,4,Real Estate
1020,Vinegar - Tarragon,53291.82,Shoes,18,5,Specialty Foods
1025,Sesame Seed,64934.60,Music,44,6,Tienda Pepito
1030,Soy Protein,44336.91,Jewelery,16,7,Major Pharmaceuticals
1035,Wine - Jackson Triggs Okonagan,95541.49,Garden,57,8,D1
1040,  Arctic Char - Fresh,63082.34,Games,15,9,Investment Bankers/Brokers/Service
1045,Cake - Pancake,55899.90,Automotive,48,10,Shoe Manufacturing
1050,  Rum - Spiced,96155.28,Movies,42,11,Brooklyn Store
1055,Lumpfish Black,48290.93,Games,45,12,Ara
1060,Soup - Campbells Bean Medley,68000.36,Industrial,59,13,Construction/Ag Equipment/Trucks
1065,  Lamb - Loin,85412.99,Sports,44,14,Natural Gas Distribution
1070,Sword Pick Asst,31998.84,Kids,15,15,Shoe Manufacturing
1075,Ecolab - Power Fusion,1902.51,Electronics,67,16,Olimpica
1080,Ice Cream - Vanilla,73599.67,Industrial,44,17,Biotechnology: Commercial Physical & Biological Resarch
1085,  Stock - Veal,53147.68,Beauty,61,18,Mercamos
1090,Beef - Salted,25260.17,Shoes,27,19,SAO
1095,  Lamb - Loin,58962.93,Beauty,36,20,Major Banks
1100,  Wine - Red,77028.50,Kids,17,21,Doña Maria
1105,Fond - Chocolate,51066.53,Garden,36,22,Recreational Products/Toys
1110,Nantucket Cranberry Juice,31612.87,Sports,21,23,Electrical Products
1115,Fib N9 - Prague Powder,28330.81,Movies,1,24,Tiendita La Abuela
1120,Grenadine,73589.61,Shoes,69,25,RETAIL: Building Materials
1125,Soap - Hand Soap,56730.94,Jewelery,70,26,Fluid Controls
1130,Bread Base - Gold Formel,93844.40,Sports,36,27,Marine Transportation
1135,Cinnamon Rolls,64508.58,Computers,37,28,Ophthalmic Goods
1140,  Arctic Char - Fresh,86343.11,Automotive,35,1,Industrial Specialties
1145,Hold Up Tool Storage Rack,58693.42,Shoes,9,2,Radio And Television Broadcasting And Communications Equipment
1150,  Pasta - Orzo,21498.89,Garden,12,3,EDP Services
1155,Cheese - Shred Cheddar / Mozza,42148.30,Industrial,35,4,Real Estate
1160,Cotton Wet Mop 16 Oz,34940.31,Shoes,65,5,Specialty Foods
1165,Bread - Italian Sesame Poly,24703.30,Movies,20,6,Tienda Pepito
1170,Snapple - Iced Tea Peach,74307.45,Baby,19,7,Major Pharmaceuticals
1175,Pepper - Red Thai,84098.86,Books,16,8,D1
1180,Capers - Ox Eye Daisy,37857.00,Jewelery,42,9,Investment Bankers/Brokers/Service
1185,Scallops - 10/20,23771.41,Shoes,50,10,Shoe Manufacturing
1190,Carrots - Mini Red Organic,71984.16,Jewelery,34,11,Brooklyn Store
1195,Ham - Proscuitto,39600.98,Shoes,50,12,Ara
1200,Spic And Span All Purpose,45315.97,Kids,46,13,Construction/Ag Equipment/Trucks
1205,Coriander - Seed,21443.37,Clothing,2,14,Natural Gas Distribution
1210,Icecream Cone - Areo Chocolate,86279.90,Kids,67,15,Shoe Manufacturing
1215,Apple - Granny Smith,14781.31,Automotive,34,16,Olimpica
1220,Compound - Raspberry,65243.12,Industrial,54,17,Biotechnology: Commercial Physical & Biological Resarch
1225,Kellogs Raisan Bran Bars,14698.41,Books,30,18,Mercamos
1230,Veal - Loin,5705.94,Tools,68,19,SAO
1235,Pickles - Gherkins,18269.75,Electronics,20,20,Major Banks
1240,Peppercorns - Pink,70719.89,Health,44,21,Doña Maria
1245,Smoked Tongue,44061.50,Clothing,45,22,Recreational Products/Toys
1250,Dc Hikiage Hira Huba,8014.96,Shoes,63,23,Electrical Products
1255,Scallops - 20/30,93113.01,Jewelery,14,24,Tiendita La Abuela
1260,Wine - Vouvray Cuvee Domaine,65891.72,Grocery,2,25,RETAIL: Building Materials
1265,  Tart Shells - Savory,47434.35,Sports,27,26,Fluid Controls
1270,Wine - Maipo Valle Cabernet,60523.20,Music,38,27,Marine Transportation
1275,Plasticspoonblack,93867.41,Health,48,28,Ophthalmic Goods
1280,Spinach - Spinach Leaf,87840.08,Shoes,19,28,Ophthalmic Goods
1285,  Wine - White,35706.43,Health,21,27,Marine Transportation
1290,Cookie Dough - Chocolate Chip,62893.74,Music,3,26,Fluid Controls
1295,Truffle - Peelings,26840.94,Music,68,25,RETAIL: Building Materials
1300,Sambuca - Ramazzotti,26453.54,Tools,28,24,Tiendita La Abuela
1305,Melon - Honey Dew,41933.78,Toys,16,23,Electrical Products
1310,Cheese - Wine,87581.86,Kids,29,22,Recreational Products/Toys
1315,Bread - White Epi Baguette,29665.43,Industrial,34,21,Doña Maria
1320,Yeast Dry - Fermipan,40672.41,Electronics,1,20,Major Banks
1325,  Tendrils - Baby Pea,48764.78,Computers,22,19,SAO
1330,Crab - Meat,70315.05,Industrial,39,18,Mercamos
1335,  Beef - Tongue,8889.65,Clothing,70,17,Biotechnology: Commercial Physical & Biological Resarch
1340,  Flour - Buckwheat,79650.35,Toys,25,16,Olimpica
1345,Beef - Montreal Smoked Brisket,84236.42,Games,31,15,Shoe Manufacturing
1350,Coffee Caramel Biscotti,81512.74,Shoes,16,14,Natural Gas Distribution
1355,Bread - Assorted Rolls,69676.49,Automotive,54,13,Construction/Ag Equipment/Trucks
1360,Russian Prince,87830.91,Grocery,25,12,Ara
1365,Coriander - Seed,68129.78,Electronics,16,11,Brooklyn Store
1370,Soup Campbells - Tomato Bisque,21879.97,Computers,68,10,Shoe Manufacturing
1375,Praline Paste,46694.69,Grocery,34,9,Investment Bankers/Brokers/Service
1380,Guinea Fowl,79046.94,Industrial,14,8,D1
1385,Onions - Green,93810.46,Garden,20,7,Major Pharmaceuticals
1390,Tomatoes - Heirloom,15152.83,Automotive,29,6,Tienda Pepito
1395,Cape Capensis - Fillet,41117.13,Books,39,5,Specialty Foods
1400,Soap - Pine Sol Floor Cleaner,66493.12,Home,37,4,Real Estate
1405,Beef Flat Iron Steak,67555.80,Toys,1,3,EDP Services
1410,Sobe - Berry Energy,97952.83,Books,25,2,Radio And Television Broadcasting And Communications Equipment
1415,Flour - Strong,54372.24,Jewelery,61,1,Industrial Specialties
1420,Chinese Foods - Thick Noodles,55199.81,Jewelery,6,28,Ophthalmic Goods
1425,Juice - Happy Planet,90386.98,Computers,44,27,Marine Transportation
1430,Eggplant - Regular,84389.07,Automotive,0,26,Fluid Controls
1435,  Pasta - Fettuccine,34022.16,Home,67,25,RETAIL: Building Materials
1440,Pepper - Red Bell,24436.94,Music,29,24,Tiendita La Abuela
1445,Chips - Assorted,88638.80,Garden,11,23,Electrical Products
1450,Veal - Bones,30576.40,Toys,28,22,Recreational Products/Toys
1455,Snails - Large Canned,17357.30,Clothing,32,21,Doña Maria
1460,  Soup - Knorr,50763.93,Games,60,20,Major Banks
1465,Chickensplit Half,99503.70,Tools,43,19,SAO
1470,Five Alive Citrus,33695.42,Games,55,18,Mercamos
1475,  Sauce - Black Current,64750.16,Toys,9,17,Biotechnology: Commercial Physical & Biological Resarch
1480,Beef - Salted,17840.70,Industrial,8,16,Olimpica
1485,Wine - Magnotta - Cab Franc,25952.02,Grocery,41,15,Shoe Manufacturing
1490,Beef - Striploin,98240.45,Toys,54,14,Natural Gas Distribution
1495,Juice - Ocean Spray Cranberry,78594.97,Outdoors,26,13,Construction/Ag Equipment/Trucks
1500,  Pork - Bacon,94828.17,Home,18,12,Ara
1505,Sour Puss - Tangerine,66921.63,Shoes,31,11,Brooklyn Store
1510,  Veal - Brisket,30512.17,Grocery,18,10,Shoe Manufacturing
1515,Onions - Cippolini,45390.47,Health,46,9,Investment Bankers/Brokers/Service
1520,Beef - Ground Lean Fresh,70916.68,Beauty,7,8,D1
1525,Tea Leaves - Oolong,8486.16,Books,7,7,Major Pharmaceuticals
1530,Bagel - Plain,78420.60,Health,65,6,Tienda Pepito
1535,  Pepper - White,68797.10,Shoes,26,5,Specialty Foods
1540,Chicken - Soup Base,47473.25,Home,9,4,Real Estate
1545,Beef - Cow Feet Split,9841.07,Toys,23,3,EDP Services
1550,Chips - Doritos,54009.84,Computers,42,2,Radio And Television Broadcasting And Communications Equipment
1555,Soup Campbells - Tomato Bisque,48266.85,Grocery,64,1,Industrial Specialties
1560,Pernod,10643.33,Shoes,64,1,Industrial Specialties
1565,Rabbit - Saddles,99641.21,Music,54,2,Radio And Television Broadcasting And Communications Equipment
1570,Salmon Steak - Cohoe 6 Oz,72519.35,Electronics,62,3,EDP Services
1575,Mushroom - Portebello,71681.83,Tools,1,4,Real Estate
1580,  Yogurt - Banana,71840.18,Computers,13,5,Specialty Foods
1585,  Pasta - Lasagna,36088.58,Kids,13,6,Tienda Pepito
1590,Knife Plastic - White,3346.50,Beauty,61,7,Major Pharmaceuticals
1595,  Soup - Campbells,13378.75,Kids,24,8,D1
1600,Steam Pan - Half Size Deep,45560.20,Health,15,9,Investment Bankers/Brokers/Service
1605,Sword Pick Asst,88914.19,Health,70,10,Shoe Manufacturing
1610,Curry Paste - Green Masala,87031.88,Tools,44,11,Brooklyn Store
1615,Pasta - Orecchiette,5534.95,Health,2,12,Ara
1620,Lamb Rack - Ontario,18077.49,Computers,30,13,Construction/Ag Equipment/Trucks
1625,  Sauce - Gravy,17140.81,Computers,57,14,Natural Gas Distribution
1630,Sobe - Berry Energy,89920.77,Movies,7,15,Shoe Manufacturing
1635,Cake - Cake Sheet Macaroon,78600.68,Shoes,1,16,Olimpica
1640,Devonshire Cream,28291.12,Garden,31,17,Biotechnology: Commercial Physical & Biological Resarch
1645,Wine - Pinot Noir Pond Haddock,31316.17,Jewelery,63,18,Mercamos
1650,  Vodka - Hot,84300.21,Computers,10,19,SAO
1655,Salami - Genova,86911.34,Electronics,25,20,Major Banks
1660,White Fish - Filets,28397.86,Electronics,50,21,Doña Maria
1665,Sauce - Chili,55982.85,Kids,56,22,Recreational Products/Toys
1670,Mayonnaise,28658.62,Health,28,23,Electrical Products
1675,  Pork - Bacon,64512.90,Electronics,7,24,Tiendita La Abuela
1680,Pail For Lid 1537,72125.23,Toys,55,25,RETAIL: Building Materials
1685,Pop Shoppe Cream Soda,30682.54,Automotive,45,26,Fluid Controls
1690,Bread - Focaccia Quarter,60632.56,Baby,60,27,Marine Transportation
1695,Lemon Balm - Fresh,13562.97,Home,46,28,Ophthalmic Goods
1700,Table Cloth 54x72 White,38193.05,Baby,49,1,Industrial Specialties
1705,  Doilies - 7,35664.34,Baby,47,2,Radio And Television Broadcasting And Communications Equipment
1710,  Wine - Red,12694.50,Beauty,7,3,EDP Services
1715,Soup - Campbells,15880.27,Beauty,43,4,Real Estate
1720,  Syrup - Golden,97650.42,Garden,34,5,Specialty Foods
1725,Pepper - Jalapeno,81160.55,Sports,19,6,Tienda Pepito
1730,Longos - Grilled Veg Sandwiches,98817.16,Garden,28,7,Major Pharmaceuticals
1735,Dc Hikiage Hira Huba,48057.77,Computers,6,8,D1
1740,Carbonated Water - White Grape,41224.24,Clothing,70,9,Investment Bankers/Brokers/Service
1745,Cake - Pancake,75627.77,Industrial,46,10,Shoe Manufacturing
1750,Table Cloth 72x144 White,53819.84,Kids,10,11,Brooklyn Store
1755,Silicone Paper 16.5x24,20081.02,Toys,31,12,Ara
1760,Clam - Cherrystone,22809.32,Clothing,55,13,Construction/Ag Equipment/Trucks
1765,Bread - Olive Dinner Roll,72019.19,Beauty,18,14,Natural Gas Distribution
1770,Wine - Valpolicella Masi,85789.08,Jewelery,60,15,Shoe Manufacturing
1775,Scampi Tail,77363.82,Outdoors,59,16,Olimpica
